trip_id,arrival_time,departure_time,stop_id,stop_sequence
T100-EST-1,06:01:00,06:01:00,62013,1
T100-EST-1,06:02:00,06:02:00,55479,2
T100-EST-1,06:03:00,06:03:00,55857,3
T100-EST-1,06:04:00,06:04:00,55515,4
T100-EST-1,06:05:00,06:05:00,55858,5
T100-EST-1,06:06:00,06:06:00,55539,6
T100-EST-1,06:07:00,06:07:00,55538,7
T100-EST-1,06:08:00,06:08:00,55988,8
T100-EST-1,06:09:00,06:09:00,62017,9
T100-EST-1,06:10:00,06:10:00,62016,10
T100-EST-1,06:11:00,06:11:00,62015,11
T100-EST-1,06:12:00,06:12:00,62032,12
T100-EST-1,06:13:00,06:13:00,62014,13
T100-EST-1,06:14:00,06:14:00,55513,14
T100-EST-1,06:15:00,06:15:00,55544,15
T100-EST-1,06:16:00,06:16:00,55553,16
T100-EST-1,06:17:00,06:17:00,55600,17
T100-EST-1,06:18:00,06:18:00,55621,18
T100-EST-1,06:19:00,06:19:00,56110,19
T100-EST-1,06:20:00,06:20:00,56139,20
T100-EST-1,06:21:00,06:21:00,56120,21
T100-EST-1,06:22:00,06:22:00,50398,22
T100-EST-1,06:23:00,06:23:00,50377,23
T100-EST-1,06:24:00,06:24:00,56140,24
T100-EST-1,06:25:00,06:25:00,56141,25
T100-EST-1,06:26:00,06:26:00,56142,26
T100-EST-1,06:27:00,06:27:00,56143,27
T100-EST-1,06:28:00,06:28:00,56144,28
T100-EST-1,06:29:00,06:29:00,56145,29
T100-EST-1,06:30:00,06:30:00,56115,30
T100-EST-1,06:31:00,06:31:00,56118,31
T100-EST-1,06:32:00,06:32:00,56114,32
T100-EST-1,06:33:00,06:33:00,56119,33
T100-EST-1,06:34:00,06:34:00,50561,34
T100-EST-1,06:35:00,06:35:00,53948,35
T100-EST-1,06:36:00,06:36:00,50579,36
T100-EST-1,06:37:00,06:37:00,50657,37
T100-EST-1,06:38:00,06:38:00,50681,38
T100-EST-1,06:39:00,06:39:00,50665,39
T100-EST-1,06:40:00,06:40:00,50671,40
T100-EST-1,06:41:00,06:41:00,50720,41
T100-EST-1,06:42:00,06:42:00,50734,42
T100-EST-1,06:43:00,06:43:00,50769,43
T100-EST-2,07:01:00,07:01:00,62013,1
T100-EST-2,07:02:00,07:02:00,55479,2
T100-EST-2,07:03:00,07:03:00,55857,3
T100-EST-2,07:04:00,07:04:00,55515,4
T100-EST-2,07:05:00,07:05:00,55858,5
T100-EST-2,07:06:00,07:06:00,55539,6
T100-EST-2,07:07:00,07:07:00,55538,7
T100-EST-2,07:08:00,07:08:00,55988,8
T100-EST-2,07:09:00,07:09:00,62017,9
T100-EST-2,07:10:00,07:10:00,62016,10
T100-EST-2,07:11:00,07:11:00,62015,11
T100-EST-2,07:12:00,07:12:00,62032,12
T100-EST-2,07:13:00,07:13:00,62014,13
T100-EST-2,07:14:00,07:14:00,55513,14
T100-EST-2,07:15:00,07:15:00,55544,15
T100-EST-2,07:16:00,07:16:00,55553,16
T100-EST-2,07:17:00,07:17:00,55600,17
T100-EST-2,07:18:00,07:18:00,55621,18
T100-EST-2,07:19:00,07:19:00,56110,19
T100-EST-2,07:20:00,07:20:00,56139,20
T100-EST-2,07:21:00,07:21:00,56120,21
T100-EST-2,07:22:00,07:22:00,50398,22
